,OP134_C1_20230609-150121.spc
745,15636.5478515625
746,15541.6005859375
747,15495.6845703125
748,15516.30078125
749,15604.1962890625
750,15742.474609375
751,15905.212890625
752,16069.1396484375
753,16221.8095703125
754,16362.8095703125
755,16498.82421875
756,16635.646484375
757,16770.65234375
758,16889.376953125
759,16968.470703125
760,16985.328125
761,16929.873046875
762,16811.48046875
763,16655.45703125
764,16490.423828125
765,16334.8994140625
766,16192.361328125
767,16058.11328125
768,15931.5439453125
769,15823.921875
770,15756.283203125
771,15751.0966796875
772,15826.4736328125
773,15997.93359375
774,16284.111328125
775,16707.33203125
776,17283.166015625
777,18002.701171875
778,18818.138671875
779,19642.462890625
780,20364.919921875
781,20876.732421875
782,21096.8828125
783,20990.234375
784,20574.2890625
785,19914.0859375
786,19106.431640625
787,18257.56640625
788,17460.39453125
789,16778.30859375
790,16240.001953125
791,15844.142578125
792,15569.3466796875
793,15384.8037109375
794,15259.251953125
795,15168.0634765625
796,15097.775390625
797,15046.4697265625
798,15019.62890625
799,15023.9052734375
800,15062.9609375
801,15137.23828125
802,15245.2919921875
803,15382.46484375
804,15536.1748046875
805,15682.8720703125
806,15792.98046875
807,15844.5341796875
808,15837.3603515625
809,15796.2138671875
810,15758.298828125
811,15752.017578125
812,15781.6689453125
813,15828.076171875
814,15864.087890625
815,15872.6328125
816,15855.1318359375
817,15826.1611328125
818,15800.7421875
819,15784.4873046875
820,15772.732421875
821,15757.41015625
822,15734.9462890625
823,15709.296875
824,15688.6318359375
825,15679.384765625
826,15682.9033203125
827,15697.330078125
828,15722.6025390625
829,15763.173828125
830,15824.7861328125
831,15906.935546875
832,15997.623046875
833,16076.3525390625
834,16124.845703125
835,16138.1748046875
836,16127.5498046875
837,16113.001953125
838,16111.7236328125
839,16130.880859375
840,16167.9951171875
841,16215.26171875
842,16262.0947265625
843,16295.462890625
844,16302.51953125
845,16278.5302734375
846,16235.25
847,16200.4765625
848,16204.095703125
849,16258.845703125
850,16350.814453125
851,16449.58984375
852,16531.119140625
853,16595.5234375
854,16665.365234375
855,16766.57421875
856,16908.4296875
857,17078.31640625
858,17253.400390625
859,17416.6953125
860,17563.904296875
861,17697.328125
862,17815.38671875
863,17908.15625
864,17962.091796875
865,17968.53125
